City_for_merge,lakasallomany,Kiskereskedelmiuzletek,munkanelkuliek1564,jarandosag,szjakepezojovegylakos,kulfoldreingazok,ivoviz,foglalkoztatottak1564,ezerlakosadozo,szemelygepkocsiezerlakos,gazdasagszam,ingazasikulonbozet,szjaalapperfo,helybenfoglalkoztatottak
Budapest,549,146.0,7.5,23.5,2508,1.8,100.6,63.2,508,411.8,2157.0,,4936,
Magyarpolány,408,47.0,4.4,26.8,1881,3.4,97.9,64.2,502,433.0,48.0,6.0,3748,23.3
Farkasgyepű,466,28.0,2.9,31.4,2099,1.6,98.8,64.9,569,514.1,17.0,4.0,3688,62.5
Öcs,609,57.0,6.1,29.3,1172,,95.3,54.2,484,431.0,12.0,50.0,2423,10.0
Nyirád,419,50.0,6.9,27.9,1562,1.6,100.0,58.5,514,411.7,58.0,3.0,3039,30.3
Ajka,474,146.0,5.1,31.0,1889,4.6,100.1,62.8,512,443.3,316.0,0.0,3688,25.7
Halimba,390,26.0,4.3,23.7,1619,0.9,98.4,62.5,514,415.3,35.0,2.0,3151,71.7
Kislőd,374,34.0,6.8,24.1,1617,1.2,98.2,62.7,501,424.7,29.0,7.0,3230,33.3
Úrkút,413,64.0,5.0,28.6,1755,1.9,96.9,65.0,543,474.3,32.0,3.0,3230,21.9
Városlőd,419,56.0,8.0,27.6,1709,0.5,99.8,60.0,543,407.0,32.0,5.0,3146,32.5
Csehbánya,435,65.0,5.6,21.1,2237,2.0,91.0,58.5,556,1412.3,8.0,33.0,4025,56.7
Szőc,237,41.0,16.5,31.5,965,2.2,96.6,35.0,323,180.0,15.0,12.0,2989,72.0
Hévízgyörk,364,92.0,6.6,23.7,1981,0.2,87.5,60.1,537,437.7,73.0,3.0,3689,17.4
Verseg,428,40.0,7.6,25.4,1624,0.5,93.2,55.7,494,400.0,26.0,6.0,3289,19.9
Iklad,342,94.0,6.0,27.1,2076,,100.3,63.1,518,428.8,17.0,1.0,4006,61.8
Vácegres,354,22.0,6.9,18.2,1576,,88.1,46.3,490,397.8,38.0,14.0,3219,31.0
Aszód,416,226.0,6.0,23.4,2193,0.1,89.6,61.6,537,405.3,29.0,1.0,4087,45.8
Galgamácsa,400,48.0,7.8,24.2,1911,,96.6,60.0,521,439.4,39.0,4.0,3665,28.6
Domony,338,41.0,11.3,22.8,1628,,87.4,50.5,472,418.1,28.0,4.0,3450,35.7
Tura,385,123.0,8.9,24.3,1554,0.1,91.9,53.1,468,419.7,90.0,1.0,3323,12.5
Galgahévíz,395,83.0,8.0,25.2,1700,0.2,87.3,58.0,507,412.5,60.0,2.0,3354,22.0
Bag,358,88.0,7.4,24.6,1573,0.2,96.7,52.7,457,403.0,35.0,2.0,3443,30.8
Kartal,336,79.0,7.2,22.4,1855,0.3,100.3,58.2,526,437.2,64.0,1.0,3526,14.6
Bácsszőlős,668,30.0,6.1,27.0,822,,37.3,39.9,433,370.9,55.0,18.0,1898,17.5
Bácsborsód,401,68.0,5.7,43.6,1157,,96.6,49.5,409,326.6,99.0,4.0,2831,42.5
Bácsbokod,533,114.0,8.0,30.8,1365,0.3,99.3,52.8,491,423.9,124.0,1.0,2781,25.5
Csikéria,650,54.0,18.3,32.1,1095,,75.8,35.5,383,411.9,81.0,8.0,2858,10.7
Katymár,586,78.0,11.3,34.6,958,1.0,91.8,36.5,401,346.2,139.0,3.0,2385,15.0
Madaras,570,94.0,12.5,27.5,1068,0.3,91.9,48.0,468,372.5,172.0,2.0,2279,7.4
Bácsalmás,499,126.0,10.5,30.0,1278,0.7,89.3,49.0,463,407.2,259.0,1.0,2759,20.6
Kunbaja,528,65.0,12.7,29.0,928,1.8,94.2,48.8,417,350.3,81.0,3.0,2223,14.6
Mátételke,572,61.0,14.5,30.3,887,,94.7,43.7,422,332.0,73.0,9.0,2101,36.5
Tataháza,605,82.0,9.6,28.9,1257,0.5,96.5,48.7,491,416.4,167.0,4.0,2560,24.1
Vaskút,420,79.0,10.7,27.7,1301,0.5,98.3,51.4,467,418.7,125.0,1.0,2785,36.7
Bátmonostor,491,49.0,11.9,28.1,1247,0.6,99.3,50.9,474,431.1,99.0,4.0,2629,19.2
Gara,420,82.0,8.2,24.1,972,1.2,97.2,42.0,409,319.7,121.0,2.0,2376,19.0
Nagybaracska,457,94.0,8.2,26.6,1034,0.5,100.0,48.2,421,339.9,115.0,2.0,2458,23.6
Dunafalva,661,116.0,11.9,31.5,1087,,96.7,45.1,426,367.0,82.0,6.0,2550,8.4
Bácsszentgyörgy,742,78.0,7.9,34.4,832,,92.7,39.6,409,390.6,30.0,37.0,2032,29.6
Hercegszántó,580,83.0,9.4,30.7,1220,,83.0,44.8,435,338.4,181.0,2.0,2803,18.5
Dávod,564,48.0,9.7,32.3,1120,0.4,100.0,47.3,449,383.3,81.0,2.0,2493,12.5
Érsekcsanád,376,64.0,8.4,23.7,1251,0.2,100.1,51.1,450,452.4,185.0,2.0,2778,28.6
Csávoly,506,111.0,12.6,29.3,1332,0.7,97.3,49.5,486,413.7,116.0,2.0,2740,33.4
Csátalja,500,91.0,10.0,30.4,1017,0.9,97.6,46.1,396,387.8,72.0,3.0,2566,29.9
Nemesnádudvar,432,134.0,8.7,25.9,1163,,99.9,53.7,434,443.1,122.0,1.0,2681,28.3
Szeremle,469,83.0,12.2,25.9,1236,,93.4,44.0,478,392.1,62.0,6.0,2583,19.4
Baja,519,227.0,8.7,30.3,1627,2.7,97.8,53.9,471,456.9,377.0,0.0,3455,24.5
Érsekhalma,544,56.0,5.8,30.7,1099,5.1,92.8,55.6,456,491.6,27.0,3.0,2410,47.7
Sükösd,453,93.0,10.9,28.4,1150,0.2,97.7,50.1,431,391.8,263.0,1.0,2667,20.4
Felsőszentiván,477,124.0,9.2,29.4,1241,1.2,98.2,49.7,486,388.6,268.0,2.0,2555,17.5
Baktalórántháza,308,176.0,7.7,19.6,1185,0.4,92.4,44.6,506,305.6,131.0,1.0,2341,36.0
Magy,412,78.0,9.6,23.3,1101,,94.3,36.3,485,567.4,108.0,7.0,2271,28.1
