Address with post code (Gas Stations),Address,City,Post Code,Franchise (or private),Highway,Link
"9024 Győr, Tatai út (mol)","Győr, Tatai út",Győr,9024,mol,0,https://holtankoljak.net/mol_Gyor_Tataiut
"1152 Budapest XV, Szentmihályi út 131. (omv)","Budapest XV, Szentmihályi út 131.",Budapest XV,1152,omv,0,https://holtankoljak.net/omv_budapest_xv_szentmihalyiut131
"2400 Dunaújváros, Aranyvölgyi út 6. TESCO parkoló (OIL!)","Dunaújváros, Aranyvölgyi út 6. TESCO parkoló",Dunaújváros,2400,OIL!,0,https://holtankoljak.net/oil_dunaujvaros_aranyvolgyiut6tescoparkolo
"2461 Tárnok, M7 autópálya 26 km ÉSZAK (lukoil)","Tárnok, M7 autópálya 26 km ÉSZAK",Tárnok,2461,lukoil,1,https://holtankoljak.net/lukoil_Tarnok_M7autopalya26kmeSZAK
"5520 Szeghalom, Kinizsi u. 12-14. (shell)","Szeghalom, Kinizsi u. 12-14.",Szeghalom,5520,shell,0,https://holtankoljak.net/shell_szeghalom_kinizsiu12-14#tartalom
"7228 Döbrököz, 157/7 Hrsz (mol-partner)","Döbrököz, 157/7 Hrsz",Döbrököz,7228,mol-partner,0,https://holtankoljak.net/mol-partner_Dobrokoz_1577Hrsz
"5351 Tiszafüred, Húszöles út 132. (shell)","Tiszafüred, Húszöles út 132.",Tiszafüred,5351,shell,0,https://holtankoljak.net/shell_Tiszafured_Huszolesut132
"9241 Jánossomorja, 86. sz. főút 0168/36 hrsz (omv)","Jánossomorja, 86. sz. főút 0168/36 hrsz",Jánossomorja,9241,omv,0,https://holtankoljak.net/omv_Janossomorja_86szfout016836hrsz
"3533 Miskolc, Újgyőri főtér 3. (mol)","Miskolc, Újgyőri főtér 3.",Miskolc,3533,mol,0,https://holtankoljak.net/mol_miskolc_ujgyorifoter3
"4561 Baktalórántháza, 41.sz. főút 27. km (mol)","Baktalórántháza, 41.sz. főút 27. km",Baktalórántháza,4561,mol,0,https://holtankoljak.net/mol_Baktaloranthaza_41szfout27km
"8900 Zalaegerszeg, Göcseji u. 37/A (mol)","Zalaegerszeg, Göcseji u. 37/A",Zalaegerszeg,8900,mol,0,https://holtankoljak.net/mol_Zalaegerszeg_Gocsejiu37A
"3355 Kápolna, 3.sz. fkl. út (mol)","Kápolna, 3.sz. fkl. út",Kápolna,3355,mol,0,https://holtankoljak.net/mol_Kapolna_3szfklut
"4002 Debrecen, Kassai út 27. (mol)","Debrecen, Kassai út 27.",Debrecen,4002,mol,0,https://holtankoljak.net/mol_Debrecen_Kassaiut27
"6065 Lakitelek, Szikra u. 206/C (mol)","Lakitelek, Szikra u. 206/C",Lakitelek,6065,mol,0,https://holtankoljak.net/mol_Lakitelek_Szikrau206C
"1134 Budapest XIII, Róbert Károly krt. 64-66. (omv)","Budapest XIII, Róbert Károly krt. 64-66.",Budapest XIII,1134,omv,0,https://holtankoljak.net/omv_budapest_robertkarolykrt64-66
"8200 Veszprém, Külső-Kádártai u. 2. (omv)","Veszprém, Külső-Kádártai u. 2.",Veszprém,8200,omv,0,https://holtankoljak.net/omv_veszprem_kulso-kadartaiu2
"9970 Szentgotthárd, Rábafüzesi út 1.  (mol)","Szentgotthárd, Rábafüzesi út 1.",Szentgotthárd,9970,mol,0,https://holtankoljak.net/mol_Szentgotthard_Rabafuzesiut1
"8330 Sűmeg, Somoskert u. 2/7. (magán)","Sűmeg, Somoskert u. 2/7.",Sűmeg,8330,magán,0,https://holtankoljak.net/metrical_kft__sumeg_somoskertu27
"2113 Erdőkertes, Fő út 234. (oil)","Erdőkertes, Fő út 234.",Erdőkertes,2113,oil,0,https://holtankoljak.net/oil_Erdokertes_Fout234
"1026 Budapest II, Szilágyi Erzsébet fasor 51. (omv)","Budapest II, Szilágyi Erzsébet fasor 51.",Budapest II,1026,omv,0,https://holtankoljak.net/omv_budapest_ii_szilagyierzsebetfasor51
"1211 Budapest XXI, Weiss Manfréd út 2. (mol)","Budapest XXI, Weiss Manfréd út 2.",Budapest XXI,1211,mol,0,https://holtankoljak.net/mol_Budapest_WeissManfredut2
"7200 Dombóvár, Kórház utca 1. (avia)","Dombóvár, Kórház utca 1.",Dombóvár,7200,avia,0,https://holtankoljak.net/avia_Dombovar_Korhazutca1
"2049 Diósd, Balatoni út 11. (lukoil)","Diósd, Balatoni út 11.",Diósd,2049,lukoil,0,https://holtankoljak.net/lukoil_Diosd_Balatoniut11
"1039 Budapest III, Szentendrei út 373. (shell)","Budapest III, Szentendrei út 373.",Budapest III,1039,shell,0,https://holtankoljak.net/shell_budapest_iii_szentendreiut373
"1116 Budapest XI, Mezőkövesd út 1. (mol)","Budapest XI, Mezőkövesd út 1.",Budapest XI,1116,mol,0,https://holtankoljak.net/mol_Budapest_Mezokovesdut1
"6000 Kecskemét, 44-es Főút 8241/9 hrsz. (lukoil)","Kecskemét, 44-es Főút 8241/9 hrsz.",Kecskemét,6000,lukoil,0,https://holtankoljak.net/lukoil_kecskemet_44-esfout82419hrsz
"6729 Szeged, Szabadkai út 7. (shell)","Szeged, Szabadkai út 7.",Szeged,6729,shell,0,https://holtankoljak.net/shell_Szeged_Szabadkaiut7
"4002 Debrecen, Böszörményi út (mol)","Debrecen, Böszörményi út",Debrecen,4002,mol,0,https://holtankoljak.net/mol_Debrecen_Boszormenyiut
"1172 Budapest XVII, Cinkotai út 30. (mol)","Budapest XVII, Cinkotai út 30.",Budapest XVII,1172,mol,0,https://holtankoljak.net/mol_Budapest_Cinkotaiut30
"1101 Budapest X, Könyves K. krt. 23. (mol)","Budapest X, Könyves K. krt. 23.",Budapest X,1101,mol,0,https://holtankoljak.net/mol_Budapest_KonyvesKkrt23
"4090 Polgár, Tiszai u.7/A (Hunpetrol)","Polgár, Tiszai u.7/A",Polgár,4090,Hunpetrol,0,https://holtankoljak.net/Hunpetrol_Polgar_Tiszaiu7A
"6448 Csávoly, Dózsa Gy. u. 50. (mol)","Csávoly, Dózsa Gy. u. 50.",Csávoly,6448,mol,0,https://holtankoljak.net/mol_Csavoly_DozsaGyu50
"4465 Rakamaz, Tokaji út (shell)","Rakamaz, Tokaji út",Rakamaz,4465,shell,0,https://holtankoljak.net/shell_Rakamaz_Tokajiut
"8380 Hévíz, Hévízi út  (mol)","Hévíz, Hévízi út",Hévíz,8380,mol,0,https://holtankoljak.net/mol_Heviz_Heviziut
"6728 Szeged, Back Bernát u. 6. (oil)","Szeged, Back Bernát u. 6.",Szeged,6728,oil,0,https://holtankoljak.net/oil_Szeged_BackBernatu6
"6725 Szeged, Kálvária sugárút 96.  (mol)","Szeged, Kálvária sugárút 96.",Szeged,6725,mol,0,https://holtankoljak.net/mol_Szeged_Kalvariasugarut96
